song_id,song_name,song_album,song_artist,song_genre,song_length,song_language,song_popularity
68,"Enna Sona (From ""OK Jaanu"")","Enna Sona (From ""OK Jaanu"")","A.R. Rahman, Arijit Singh",Bollywood,2.47,Hindi,53
69,"Channa Mereya (From ""Ae Dil Hai Mushkil"")","Channa Mereya (From ""Ae Dil Hai Mushkil"")","Pritam, Arijit Singh",Bollywood,3.35,Hindi,60
70,"Ae Dil Hai Mushkil (Club Mix By DJ Kiran Kamath) [From ""Ae Dil Hai Mushkil""]","Ae Dil Hai Mushkil (Club Mix By DJ Kiran Kamath) [From ""Ae Dil Hai Mushkil""]","Pritam, Arijit Singh, Dj Kiran Kamath",Bollywood,2.75,Hindi,35
71,Yaariyan (reprise),Cocktail,"Sunidhi Chauhan, Arijit Singh",Bollywood,3.63,Hindi,33
72,Breakaway,Breakaway,Kelly Clarkson,Pop,2.74,English,64
73,Toxic,In The Zone,Britney Spears,Pop,2.3,English,81
74,Baby,My World 2.0,"Justin Bieber, Ludacris",Pop,2.48,English,80
75,Around the World (La La La La La) - Radio Version,Planet Pop,"A Touch Of Class, Pete Konemann",Pop,2.48,English,67
76,In Da Club,Get Rich Or Die Tryin',50 Cent,Hip-Hop,2.24,English,82
77,Low (feat. T-Pain),Mail on Sunday,"Flo Rida, T-Pain",R&B,2.68,English,80
78,Apologize - feat. One Republic,Shock Value,"Timbaland, OneRepublic",R&B,2.13,English,76
79,Boom Boom Pow,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],Black Eyed Peas,Club,2.91,English,68
80,Promiscuous,Loose,"Nelly Furtado, Timbaland",Pop,2.8,English,81
81,Say It Right,Loose,Nelly Furtado,Pop,2.58,English,78
82,Viva La Vida,Viva La Vida or Death and All His Friends,Coldplay,Pop,2.81,English,84
83,Rock Your Body,Justified,Justin Timberlake,Rock,3.09,English,76
84,Heads Will Roll - A-Trak Remix,Heads Will Roll (A-Trak Remix),"Yeah Yeah Yeahs, A-Trak",Club,4.44,English,68
