Song_id,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Track URI,Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,No of times Songs Played
11,In Da Club,spotify:artist:3q7HBObVc0L8jNeTe5Gofh,50 Cent,spotify:album:4ycNE7y1rp5215g1kkqk1P,Get Rich Or Die Tryin',spotify:artist:3q7HBObVc0L8jNeTe5Gofh,spotify:track:4RY96Asd9IefaL3X4LOLZ8,50 Cent,2/6/2003,https://i.scdn.co/image/ab67616d0000b273f7f74100d5cc850e01172cbf,1,5,193466,,TRUE,75,2652
12,Candy Shop,"spotify:artist:3q7HBObVc0L8jNeTe5Gofh, spotify:artist:5YBSzuCs7WaFKNr7Bky0Uf","50 Cent, Olivia",spotify:album:2pidzXTaHV4WaIJYRxKDCH,The Massacre,spotify:artist:3q7HBObVc0L8jNeTe5Gofh,spotify:track:5D2mYZuzcgjpchVY1pmTPh,50 Cent,3/3/2005,https://i.scdn.co/image/ab67616d0000b27391f7222996c531b981e7bb3d,1,7,209106,,TRUE,80,1283
13,All We Have Is This Moment,spotify:artist:6rclmdstz3sdi2HTLzXJwg,C. SHIROCK,spotify:album:62oOarigBpkjNsQktNUdTY,All We Have Is This Moment,spotify:artist:6rclmdstz3sdi2HTLzXJwg,spotify:track:2UGwzqQeq5BorebU4BWEmN,C. SHIROCK,4/10/2020,https://i.scdn.co/image/ab67616d0000b273c651e7f93bc8426d25a4f934,1,1,258120,https://p.scdn.co/mp3-preview/c6e203c76bbf41aa0f849d3a8c2be351ca6dea0d?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,9,1767
14,rockstar (feat. 21 Savage),"spotify:artist:246dkjvS1zLTtiykXe5h60, spotify:artist:1URnnhqYAYcrqrcwql10ft","Post Malone, 21 Savage",spotify:album:6trNtQUgC8cgbWcqoMYkOR,beerbongs & bentleys,spotify:artist:246dkjvS1zLTtiykXe5h60,spotify:track:0e7ipj03S05BNilyu5bRzt,Post Malone,4/27/2018,https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268,1,6,218146,,TRUE,84,2757
15,Let Me Love You,"spotify:artist:540vIaP2JwjQb9dm3aArA4, spotify:artist:1uNFoZAHBGtllmzznpCI3s","DJ Snake, Justin Bieber",spotify:album:19zH1vHqzkxEsUvN7GaaH0,Encore,spotify:artist:540vIaP2JwjQb9dm3aArA4,spotify:track:5Qjv35Ja2TDt9CXRRo51hh,DJ Snake,8/5/2016,https://i.scdn.co/image/ab67616d0000b2735021c7693184cb66f7e0fc1f,1,13,205906,,FALSE,49,8560
16,Blame (feat. John Newman),"spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:34v5MVKeQnIo0CWYMbbrPf","Calvin Harris, John Newman",spotify:album:48zisMeiXniWLzOQghbPqS,Motion,spotify:artist:7CajNmpbOovFoOoasH2HaY,spotify:track:07nH4ifBxUB4lZcsf44Brn,Calvin Harris,10/31/2014,https://i.scdn.co/image/ab67616d0000b273063c048e9ef6bd021b744756,1,3,212960,https://p.scdn.co/mp3-preview/5112b468031ea96f5b42d9aecd91cd1654fb44e9?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,76,2798
17,New Rules,spotify:artist:6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,spotify:album:01sfgrNbnnPUEyz6GZYlt9,Dua Lipa (Deluxe),spotify:artist:6M2wZ9GZgrQXHCFfjv46we,spotify:track:2ekn2ttSfGqwhhate0LSR0,Dua Lipa,6/2/2017,https://i.scdn.co/image/ab67616d0000b2736b915e407b70e121e06fe979,1,10,209320,https://p.scdn.co/mp3-preview/b6936c211bfbf998b95af98ea0b1c52f0d413066?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,80,5967
18,Around the World (La La La La La) - Radio Version,"spotify:artist:5wTdspmxzb8V4ZjvDodpBo, spotify:artist:0PEfbjTw85CAN5G0lz9n3p","A Touch Of Class, Pete Konemann",spotify:album:2kBFECL9a71fNRXbRW5xO3,Planet Pop,spotify:artist:5wTdspmxzb8V4ZjvDodpBo,spotify:track:7CvOnbFdnIoXMQ4eFCo5lB,A Touch Of Class,11/6/2000,https://i.scdn.co/image/ab67616d0000b2732b674491e363e44f14d10f43,1,2,214533,https://p.scdn.co/mp3-preview/166e36fb796989152981d69d1214397d75b98730?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,67,5263
19,Not Afraid,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,Eminem,spotify:album:47BiFcV59TQi2s9SkBo2pb,Recovery,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,spotify:track:7Ie9W94M7OjPoZVV216Xus,Eminem,6/18/2010,https://i.scdn.co/image/ab67616d0000b273c08d5fa5c0f1a834acef5100,1,7,248133,,TRUE,80,7407
20,Love The Way You Lie,"spotify:artist:7dGJo4pcD2V6oG8kP0tJRR, spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Eminem, Rihanna",spotify:album:47BiFcV59TQi2s9SkBo2pb,Recovery,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,spotify:track:15JINEqzVMv3SvJTAXAKED,Eminem,6/18/2010,https://i.scdn.co/image/ab67616d0000b273c08d5fa5c0f1a834acef5100,1,15,263373,,TRUE,82,952
21,The Monster,"spotify:artist:7dGJo4pcD2V6oG8kP0tJRR, spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Eminem, Rihanna",spotify:album:3vOgbDjgsZBAPwV2M3bNOj,The Marshall Mathers LP2,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,spotify:track:48RrDBpOSSl1aLVCalGl5C,Eminem,11/5/2013,https://i.scdn.co/image/ab67616d0000b27357195dfe8926f713b21d6cac,1,12,250188,,TRUE,77,4701
22,Venom - Music From The Motion Picture,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,Eminem,spotify:album:25zSh5FAL8kUh8z7ivwBH6,Venom (Music From The Motion Picture),spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,spotify:track:3kpYJjvM8Ja6btr5hEJLWc,Eminem,9/21/2018,https://i.scdn.co/image/ab67616d0000b2731b95097dd6e47dfb02b315c8,1,1,269573,,TRUE,73,2388
23,Rap God,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,Eminem,spotify:album:6DN7GcZF1HywzrkGN6Eeqk,The Marshall Mathers LP2 (Deluxe),spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,spotify:track:6or1bKJiZ06IlK0vFvY75k,Eminem,11/5/2013,https://i.scdn.co/image/ab67616d0000b273cb66bcc14c6f857c127d5969,1,9,363521,,TRUE,77,7836
24,Sweet Dreams (Are Made of This) - Remastered,"spotify:artist:0NKDgy9j66h3DLnN8qu1bB, spotify:artist:5MspMQqdVbdwP6ax3GXqum, spotify:artist:7gcCQIlkkfbul5Mt0jBQkg","Eurythmics, Annie Lennox, Dave Stewart",spotify:album:5jNDWA19BJbE24x1UUJGRY,Sweet Dreams (Are Made Of This),"spotify:artist:0NKDgy9j66h3DLnN8qu1bB, spotify:artist:5MspMQqdVbdwP6ax3GXqum, spotify:artist:7gcCQIlkkfbul5Mt0jBQkg",spotify:track:1TfqLAPs4K3s2rJMoCokcS,"Eurythmics, Annie Lennox, Dave Stewart",1/4/1983,https://i.scdn.co/image/ab67616d0000b273b3994c94dfb241923664bb4d,1,6,216933,https://p.scdn.co/mp3-preview/891fbe66610d4c6fab456fb1c64398c3256257b6?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,82,5574
25,Funky Town,spotify:artist:0lwRI7lvmlRY5DiA5Xa6wQ,Lipps Inc.,spotify:album:3r4KvV3xbEN0VAHthWYnAE,Paradas Continuas,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,spotify:track:7723JnKU2R15Iv4T7OJrly,Various Artists,10/20/2009,https://i.scdn.co/image/ab67616d0000b273432b122f90d8f23424448abe,1,8,239253,,FALSE,1,2383
26,Self Control,spotify:artist:4463nfFMmK1cwAWBQDwT5e,Laura Branigan,spotify:album:5cwUCXPFFfNsnk4qipc40D,Self Control,spotify:artist:4463nfFMmK1cwAWBQDwT5e,spotify:track:6JNJERZGJwDVgkmbohBw7u,Laura Branigan,6/6/1905,https://i.scdn.co/image/ab67616d0000b2731310670cbb82f06474372cfd,1,2,246440,https://p.scdn.co/mp3-preview/65a07ca3521a49d5dc67bc58602e9ba2a8cc1728?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,72,7602
27,Kids In America,spotify:artist:73a6pNH4YtLNgDbPQwXveo,Kim Wilde,spotify:album:5vf8cU0vjl22ThptA93DDf,Kim Wilde,spotify:artist:73a6pNH4YtLNgDbPQwXveo,spotify:track:1YGZyfvdgZxzipWoWYVKxi,Kim Wilde,6/3/1905,https://i.scdn.co/image/ab67616d0000b273487fc5e15290dc70ec3154ae,1,5,205533,https://p.scdn.co/mp3-preview/0200922628055baf2c6aa7f505a275dc6a982487?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,68,535
28,Kids In America,spotify:artist:73a6pNH4YtLNgDbPQwXveo,Kim Wilde,spotify:album:5vf8cU0vjl22ThptA93DDf,Kim Wilde,spotify:artist:73a6pNH4YtLNgDbPQwXveo,spotify:track:1YGZyfvdgZxzipWoWYVKxi,Kim Wilde,6/3/1905,https://i.scdn.co/image/ab67616d0000b273487fc5e15290dc70ec3154ae,1,5,205533,https://p.scdn.co/mp3-preview/0200922628055baf2c6aa7f505a275dc6a982487?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,68,2541
29,Africa,spotify:artist:0PFtn5NtBbbUNbU9EAmIWF,TOTO,spotify:album:62U7xIHcID94o20Of5ea4D,Toto IV,spotify:artist:0PFtn5NtBbbUNbU9EAmIWF,spotify:track:2374M0fQpWi3dLnB54qaLX,TOTO,4/8/1982,https://i.scdn.co/image/ab67616d0000b2734a052b99c042dc15f933145b,1,10,295893,https://p.scdn.co/mp3-preview/5afc1a0779af1d85cf7ea38f7bc5f457cbbe9d8e?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,82,7066
30,Billie Jean,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,spotify:album:2ANVost0y2y52ema1E9xAZ,Thriller,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,spotify:track:7J1uxwnxfQLu4APicE5Rnj,Michael Jackson,11/30/1982,https://i.scdn.co/image/ab67616d0000b273de437d960dda1ac0a3586d97,1,6,294226,https://p.scdn.co/mp3-preview/6bc16eec6d10da63a03860070cf6d625936d68f2?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,63,2566
31,Beat It,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,spotify:album:2ANVost0y2y52ema1E9xAZ,Thriller,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,spotify:track:3BovdzfaX4jb5KFQwoPfAw,Michael Jackson,11/30/1982,https://i.scdn.co/image/ab67616d0000b273de437d960dda1ac0a3586d97,1,5,258399,https://p.scdn.co/mp3-preview/d1a8279db7e8eb06dfbaa0163c42808d8f9f10c6?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,61,4103
32,Careless Whisper,spotify:artist:19ra5tSw0tWufvUp8GotLo,George Michael,spotify:album:3coLNlyStg9h7f8CZ103Rl,Ladies And Gentlemen... The Best Of George Michael,spotify:artist:19ra5tSw0tWufvUp8GotLo,spotify:track:4jDmJ51x1o9NZB5Nxxc7gY,George Michael,11/9/1998,https://i.scdn.co/image/ab67616d0000b27364c19b24ce947ffa363f8f96,1,3,300106,https://p.scdn.co/mp3-preview/df6125e9d373f6762e87171d7bd5e5ae0bb6a27a?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,79,6562
33,Self Control,spotify:artist:4463nfFMmK1cwAWBQDwT5e,Laura Branigan,spotify:album:5cwUCXPFFfNsnk4qipc40D,Self Control,spotify:artist:4463nfFMmK1cwAWBQDwT5e,spotify:track:6JNJERZGJwDVgkmbohBw7u,Laura Branigan,6/6/1905,https://i.scdn.co/image/ab67616d0000b2731310670cbb82f06474372cfd,1,2,246440,https://p.scdn.co/mp3-preview/65a07ca3521a49d5dc67bc58602e9ba2a8cc1728?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,72,2434
34,Summer Of '69,spotify:artist:3Z02hBLubJxuFJfhacLSDc,Bryan Adams,spotify:album:2o2G49EPi4lua5zgxUKhLL,Reckless (30th Anniversary / Deluxe Edition),spotify:artist:3Z02hBLubJxuFJfhacLSDc,spotify:track:0GONea6G2XdnHWjNZd6zt3,Bryan Adams,11/5/1984,https://i.scdn.co/image/ab67616d0000b273cf1fee2a55e98e22bf358512,1,6,216053,,FALSE,81,9348
35,"Say You, Say Me",spotify:artist:3gMaNLQm7D9MornNILzdSl,Lionel Richie,spotify:album:5IvqScO5vIXQ2zrxtpCVHf,Dancing On The Ceiling (Expanded Edition),spotify:artist:3gMaNLQm7D9MornNILzdSl,spotify:track:17CPezzLWzvGfpZW6X8XT0,Lionel Richie,6/8/1905,https://i.scdn.co/image/ab67616d0000b2732c33399e119cec9b0fcde564,1,8,241066,,FALSE,68,7545
36,I Wanna Dance with Somebody (Who Loves Me),spotify:artist:6XpaIBNiVzIetEPCWDvAFP,Whitney Houston,spotify:album:5Vdzprr5cOqXQo44eHeV7t,Whitney,spotify:artist:6XpaIBNiVzIetEPCWDvAFP,spotify:track:2tUBqZG2AbRi7Q0BIrVrEj,Whitney Houston,6/2/1987,https://i.scdn.co/image/ab67616d0000b273cc57e9b00b87dd0f6e868347,1,1,291293,https://p.scdn.co/mp3-preview/8b53a1deace14a7b124155313a0d9bdd3f4938c8?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,80,3794
37,La Isla Bonita,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,Madonna,spotify:album:6fmnT17jc2Sc69q3nza1eD,True Blue (Reissue),spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,spotify:track:6r8k1vznHrzlEKYxL4dZEe,Madonna,6/30/1986,https://i.scdn.co/image/ab67616d0000b2737136940d1367fb6514ec9b4f,1,7,242733,https://p.scdn.co/mp3-preview/cea3dbb22758094541e810fba4cdc6da75c2524b?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,73,7328
38,Man in the Mirror - 2012 Remaster,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,spotify:album:24TAupSNVWSAHL0R7n71vm,Bad 25th Anniversary,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,spotify:track:1kiNatIrwDusOZfR29W0LJ,Michael Jackson,8/31/1987,https://i.scdn.co/image/ab67616d0000b2731bb21d27effb96a1d0fe8d6d,1,7,318680,https://p.scdn.co/mp3-preview/482f807ccf20ccce0f8169b1c8246ffdfe4ad181?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,69,75
39,Dirty Diana - 2012 Remaster,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,spotify:album:24TAupSNVWSAHL0R7n71vm,Bad 25th Anniversary,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,spotify:track:3yBlJtq86wROQpHi1goEKT,Michael Jackson,8/31/1987,https://i.scdn.co/image/ab67616d0000b2731bb21d27effb96a1d0fe8d6d,1,9,280760,https://p.scdn.co/mp3-preview/2900932cb1d13454a8278fa29ace1129efee4a6e?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,61,3011
40,...Baby One More Time,spotify:artist:26dSoYclwsYLMAKD3tpOr4,Britney Spears,spotify:album:3WNxdumkSMGMJRhEgK80qx,...Baby One More Time (Digital Deluxe Version),spotify:artist:26dSoYclwsYLMAKD3tpOr4,spotify:track:3MjUtNVVq3C8Fn0MP3zhXa,Britney Spears,1/12/1999,https://i.scdn.co/image/ab67616d0000b2738e49866860c25afffe2f1a02,1,1,211066,https://p.scdn.co/mp3-preview/fd353f288358cb29fa0628254152ec6aab2ee99c?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,78,9469
41,Livin' la Vida Loca,spotify:artist:7slfeZO9LsJbWgpkIoXBUJ,Ricky Martin,spotify:album:1k1Cr3nlJDa8pvwZUJ5xfj,Ricky Martin,spotify:artist:7slfeZO9LsJbWgpkIoXBUJ,spotify:track:0Ph6L4l8dYUuXFmb71Ajnd,Ricky Martin,6/21/1905,https://i.scdn.co/image/ab67616d0000b273e7e9b85cc1f021ec12130d80,1,1,243160,https://p.scdn.co/mp3-preview/3317fa4d1bdb62e178414fcdc820eb4f1012b946?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,73,3371
42,,spotify:artist:4S9EykWXhStSc15wEx8QFK,Céline Dion,spotify:album:3SwxRkHbAarf3wWlInRTzA,Let's Talk About Love,spotify:artist:4S9EykWXhStSc15wEx8QFK,spotify:track:3oEHQmhvFLiE7ZYES0ulzv,Céline Dion,10/24/1997,,1,12,280000,,FALSE,,4560
43,What I've Done,spotify:artist:6XyY86QOPPrYVGvF9ch6wz,Linkin Park,spotify:album:2tlTBLz2w52rpGCLBGyGw6,Minutes to Midnight,spotify:artist:6XyY86QOPPrYVGvF9ch6wz,spotify:track:18lR4BzEs7e3qzc0KVkTpU,Linkin Park,5/14/2007,https://i.scdn.co/image/ab67616d0000b27346e207de66ba06422897f769,1,6,205613,https://p.scdn.co/mp3-preview/01b4ee33e62729da2c3664faf5034652b548d1ef?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,79,7594
44,Smells Like Teen Spirit,spotify:artist:6olE6TJLqED3rqDCT0FyPh,Nirvana,spotify:album:2uEf3r9i2bnxwJQsxQ0xQ7,Nevermind (Deluxe Edition),spotify:artist:6olE6TJLqED3rqDCT0FyPh,spotify:track:1f3yAtsJtY87CTmM8RLnxf,Nirvana,9/26/1991,https://i.scdn.co/image/ab67616d0000b27328a90d00a2819504364880e4,1,1,301920,,FALSE,11,4557
45,Yeah! (feat. Lil Jon & Ludacris),"spotify:artist:23zg3TcAtWQy7J6upgbUnj, spotify:artist:7sfl4Xt5KmfyDs2T3SVSMK, spotify:artist:3ipn9JLAPI5GUEo4y4jcoi","Usher, Lil Jon, Ludacris",spotify:album:1RM6MGv6bcl6NrAG8PGoZk,Confessions (Expanded Edition),spotify:artist:23zg3TcAtWQy7J6upgbUnj,spotify:track:5rb9QrpfcKFHM1EUbSIurX,Usher,3/23/2004,https://i.scdn.co/image/ab67616d0000b273365b3fb800c19f7ff72602da,1,2,250373,https://p.scdn.co/mp3-preview/775632d9867341c779b7238f1718f9abd1773061?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,81,4530
46,Don't Cha,"spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ, spotify:artist:1YfEcTuGvBQ8xSD1f53UnK","The Pussycat Dolls, Busta Rhymes",spotify:album:5x8e8UcCeOgrOzSnDGuPye,PCD,spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ,spotify:track:1gZ7i4qxXkHZb1r6eioaAP,The Pussycat Dolls,1/1/2005,https://i.scdn.co/image/ab67616d0000b2738cc44129c3b11adec74058d6,1,1,272080,,FALSE,66,1774
47,Don't Stop The Music,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,Rihanna,spotify:album:3JSWZWeTHF4HDGt5Eozdy7,Good Girl Gone Bad: Reloaded,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,spotify:track:0ByMNEPAPpOR5H69DVrTNy,Rihanna,6/2/2008,https://i.scdn.co/image/ab67616d0000b273f9f27162ab1ed45b8d7a7e98,1,3,267080,,FALSE,79,4119
48,4 Minutes (feat. Justin Timberlake & Timbaland),"spotify:artist:6tbjWDEIzxoDsBA1FuhfPW, spotify:artist:31TPClRtHm23RisEBtV3X7, spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ","Madonna, Justin Timberlake, Timbaland",spotify:album:43lok9zd7BW5CoYkXZs7S0,Celebration (double disc version),spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,spotify:track:1oHClQEgDmmbcEx12Kc5nZ,Madonna,9/18/2009,https://i.scdn.co/image/ab67616d0000b2738f9f218b386e6aeb27184307,1,4,189693,https://p.scdn.co/mp3-preview/9604d99ca8b7fbfb98e9eef90410044884626bee?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,70,9537
49,Kabhi Jo Baadal Barse,spotify:artist:4YRxDV8wJFPHPTeXepOstw,Arijit Singh,spotify:album:7ItSsWDIPTiCEdSPu1TMct,Jackpot,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,spotify:track:3MVPReTwLNOBFb6KjiIRNM,Various Artists,10/29/2013,https://i.scdn.co/image/ab67616d0000b27334bb47a8b7da4bcb773400a1,1,1,254300,https://p.scdn.co/mp3-preview/a72fd9f4c694c955868acdd1c8aebd5036469607?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,59,5007
50,Phir Mohabbat,"spotify:artist:6QtJ6BVdj43aDpgjnVp2tY, spotify:artist:4YRxDV8wJFPHPTeXepOstw, spotify:artist:0HIpVOzrDwqiI5wP56soMK","Mohammed Irfan, Arijit Singh, Saim Bhat",spotify:album:1vUKBCizrhzhTZ8tgqL8db,Murder 2,"spotify:artist:4auibajZua9Ld8sPMOmPYc, spotify:artist:4RnBspN4LbLQPAiKuSvOdV, spotify:artist:09UmIX92EUH9hAK4bxvHx6",spotify:track:2b2HutIDmoeBnnKRWDLAtV,"Harshit Saxena, Sangeet & Siddharth, Mithoon",5/30/2011,https://i.scdn.co/image/ab67616d0000b2732432edc97b465e6db54d356b,1,4,329851,https://p.scdn.co/mp3-preview/2e678fa6cb80fe91e4bd870f36505c1b883d7312?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,63,1733
51,Haareya,"spotify:artist:1mBydYMVBECdDmMfE2sEUO, spotify:artist:4YRxDV8wJFPHPTeXepOstw, spotify:artist:6q29t5RuXxlBuqIZsOMQss","Sachin-Jigar, Arijit Singh, Priya Saraiya",spotify:album:5aB2ao1SUs9f4bAmptE1yM,Meri Pyaari Bindu,spotify:artist:1mBydYMVBECdDmMfE2sEUO,spotify:track:1VvGJIAjhGdB7InVP9NA7V,Sachin-Jigar,4/25/2017,https://i.scdn.co/image/ab67616d0000b273d2f3f606e8d06c7a6a340a48,1,3,214735,https://p.scdn.co/mp3-preview/cf4ba0be9528068ab784f9bf2c43a8c8aee3834d?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,56,3776
